Form,M/F,B/D,House,Room/Bed,Rm Type,1,2,3,4,5,6,
4,F,B,MCCOOK,210A,Single,MCCOOK,WWING,LBRY,ARCH,BERNHS,,
4,F,B,MCCOOK,210A,Double,MCCOOK,WWING,LBRY,HALL,ARCH,BERNHS,
4,F,B,BERNHS,210A,Single,ARCH,BERNHS,MCCOOK,WWING,LBRY,CHAPHS,
4,F,D,SPAIN,010A,,,,,,,,
4,F,B,BERNHS,209A,Single,MCCOOK,LBRY,BERNHS,WWING,CHAPHS,ARCH,
4,F,B,MCCOOK,204A,Single,ARCH,MCCOOK,LBRY,BERNHS,CHAPHS,WWING,
4,F,B,MCCOOK,204A,Double,ARCH,HALL,BERNHS,LBRY,WWING,MCCOOK,CHAPHS
4,F,B,ARCH,302B,Single,MCCOOK,WWING,LBRY,ARCH,,,
4,F,B,ARCH,302B,Double,MCCOOK,WWING,LBRY,HALL,ARCH,BERNHS,
4,F,B,BERNHS,225A,,,,,,,,
4,F,B,BERNHS,128B,,,,,,,,
4,F,B,ARCH,308C,Double,MCCOOK,ARCH,CHAPHS,HALL,BERNHS,WWING,LBRY
4,F,B,ARCH,205B,,,,,,,,
4,F,B,BERNHS,107B,Triple,HALL,WWING,,,,,
4,F,B,BERNHS,228B,,,,,,,,
4,M,B,TENNHS,228A,SIngle,TENNHS,LOGAN,HILL,CK,,,
4,M,B,HILL,373A,Double,TENNHS,LOGAN,HILL,SPENCR,QUAN,CK,
4,M,B,SPENCR,222A,Double,QUAN,SPENCR,TENNHS,CK,LOGAN,HILL,
4,M,B,HILL,277A,Double,TENNHS,LOGAN,HILL,QUAN,SPENCR,CK,
4,M,B,HILL,279A,Double,TENNHS,LOGAN,HILL,SPENCR,QUAN,CK,
4,M,B,CK,100A,SIngle,LOGAN,HILL,TENNHS,CK,,,
4,M,B,SPENCR,205A,Double,SPENCR,TENNHS,QUAN,HILL,CK,LOGAN,
4,M,B,TENNHS,106A,SIngle,TENNHS,CK,LOGAN,SPENCR,QUAN,HILL,
4,M,B,TENNHS,206A,Double,QUAN,SPENCR,TENNHS,CK,LOGAN,HILL,
4,M,B,TENNHS,130A,,,,,,,,
4,M,B,SPENCR,221A,Triple,QUAN,,,,,,
4,M,B,SPENCR,221A,SIngle,QUAN,SPENCR,TENNHS,CK,,,
4,M,B,SPENCR,202A,Double,QUAN,SPENCR,TENNHS,HILL,CK,LOGAN,
4,M,B,HILL,279B,Double,SPENCR,TENNHS,QUAN,HILL,CK,LOGAN,
4,M,B,TENNHS,107A,Double,TENNHS,LOGAN,SPENCR,QUAN,HILL,CK,
4,M,B,SPENCR,222B,Double,QUAN,SPENCR,TENNHS,LOGAN,HILL,CK,
4,M,B,TENNHS,210A,,,,,,,,
4,M,B,TENNHS,128A,,,,,,,,
4,M,B,HILL,377A,Double,TENNHS,LOGAN,HILL,QUAN,SPENCR,CK,
4,M,B,CK,107A,Double,SPENCR,QUAN,TENNHS,HILL,LOGAN,CK,
4,M,B,CK,100B,Double,QUAN,SPENCR,TENNHS,LOGAN,HILL,CK,
4,M,B,TENNHS,111A,SIngle,TENNHS,CK,LOGAN,,,,
4,M,B,SPENCR,115A,Double,QUAN,SPENCR,TENNHS,LOGAN,HILL,CK,
4,M,B,TENNHS,227A,Double,QUAN,SPENCR,TENNHS,LOGAN,HILL,CK,
4,M,B,TENNHS,125A,Double,QUAN,SPENCR,TENNHS,LOGAN,HILL,CK,
4,M,B,TENNHS,211A,,,,,,,,
4,M,B,TENNHS,229A,SIngle,TENNHS,CK,LOGAN,HILL,,,
4,M,B,CK,200A,Double,SPENCR,QUAN,TENNHS,LOGAN,HILL,CK,
4,M,B,SPENCR,205B,SIngle,LOGAN,SPENCR,TENNHS,HILL,CK,QUAN,
4,M,B,TENNHS,109A,SIngle,TENNHS,LOGAN,QUAN,HILL,,,
4,M,B,TENNHS,122A,Double,SPENCR,QUAN,TENNHS,HILL,LOGAN,CK,
4,M,B,TENNHS,208A,Double,LOGAN,HILL,CK,TENNHS,SPENCR,QUAN,
4,M,B,TENNHS,106B,SIngle,TENNHS,CK,LOGAN,HILL,QUAN,SPENCR,
4,M,B,TENNHS,129A,Double,TENNHS,LOGAN,SPENCR,QUAN,CK,HILL,
4,M,B,TENNHS,112A,Double,TENNHS,LOGAN,SPENCR,QUAN,CK,HILL,
4,M,B,TENNHS,228B,,,,,,,,
4,M,B,TENNHS,128B,Double,TENNHS,LOGAN,QUAN,SPENCR,HILL,CK,
4,M,B,HILL,270A,,,,,,,,
4,M,B,HILL,277B,SIngle,LOGAN,CK,HILL,TENNHS,,,
4,M,B,SPENCR,115B,Triple,QUAN,,,,,,
4,M,B,SPENCR,219A,,,,,,,,
4,M,B,TENNHS,206B,,,,,,,,
4,M,B,CK,103A,SIngle,CK,TENNHS,LOGAN,,,,
4,M,B,HILL,271A,SIngle,HILL,,,,,,
4,M,B,HILL,373B,SIngle,TENNHS,CK,,,,,
4,M,B,SPENCR,202B,Double,QUAN,SPENCR,TENNHS,HILL,CK,LOGAN,
4,M,B,TENNHS,108A,Double,QUAN,SPENCR,TENNHS,HILL,CK,LOGAN,
4,M,B,TENNHS,108B,Double,QUAN,SPENCR,TENNHS,HILL,CK,LOGAN,
4,M,B,CK,104A,SIngle,LOGAN,HILL,TENNHS,CK,SPENCR,QUAN,
4,M,B,TENNHS,125B,Double,QUAN,SPENCR,TENNHS,LOGAN,HILL,CK,
4,M,B,TENNHS,208B,Double,QUAN,SPENCR,LOGAN,TENNHS,CK,HILL,
4,M,B,TENNHS,226A,SIngle,TENNHS,CK,LOGAN,HILL,,,
4,M,B,TENNHS,209A,SIngle,TENNHS,LOGAN,,,,,
4,M,B,TENNHS,209A,Double,TENNHS,CK,LOGAN,QUAN,HILL,SPENCR,
4,M,B,CK,208A,Double,TENNHS,LOGAN,SPENCR,QUAN,CK,HILL,
4,M,B,TENNHS,107B,Double,TENNHS,LOGAN,SPENCR,QUAN,HILL,CK,
4,M,B,TENNHS,224A,Double,LOGAN,HILL,CK,TENNHS,SPENCR,QUAN,
4,M,B,TENNHS,205A,SIngle,LOGAN,CK,TENNHS,QUAN,,,
4,M,B,HILL,275A,SIngle,HILL,CK,,,,,
4,M,B,HILL,365A,SIngle,HILL,CK,LOGAN,TENNHS,,,
4,M,B,CK,107B,SIngle,LOGAN,HILL,TENNHS,CK,QUAN,,
4,M,B,CK,205A,SIngle,HILL,CK,TENNHS,LOGAN,QUAN,SPENCR,
4,M,B,CK,200B,SIngle,LOGAN,TENNHS,CK,HILL,QUAN,SPENCR,
4,M,B,TENNHS,223A,Single,TENNHS,CK,LOGAN,HILL,,,
4,M,B,TENNHS,123A,Double,SPENCR,QUAN,TENNHS,LOGAN,HILL,CK,
4,M,B,CK,212A,Double,TENNHS,CK,LOGAN,QUAN,HILL,SPENCR,
4,M,B,CK,208B,Double,TENNHS,LOGAN,SPENCR,QUAN,CK,HILL,
4,M,B,HILL,371A,SIngle,TENNHS,CK,HILL,QUAN,,,
4,M,B,HILL,271B,,,,,,,,
4,M,B,TENNHS,205B,Double,TENNHS,HILL,SPENCR,LOGAN,,,
4,M,B,SPENCR,219B,Triple,QUAN,,,,,,
4,M,B,HILL,274A,SIngle,QUAN,SPENCR,TENNHS,HILL,CK,LOGAN,
4,M,B,TENNHS,225A,Single,LOGAN,HILL,TENNHS,CK,QUAN,SPENCR,
4,M,B,TENNHS,212A,SIngle,HILL,TENNHS,LOGAN,CK,,,
4,M,B,HILL,279C,Double,QUAN,SPENCR,LOGAN,TENNHS,CK,HILL,
4,M,B,TENNHS,226B,SIngle,TENNHS,LOGAN,CK,,,,
4,M,B,HILL,270B,,,,,,,,
4,M,B,CK,102A,SIngle,CK,HILL,TENNHS,QUAN,LOGAN,SPENCR,
4,M,B,CK,105A,SIngle,LOGAN,HILL,TENNHS,CK,,,
